importer_iso3,canal,q_sea_predict,v_sea_predict,q_sea_import,v_sea_import,q_sea_export,v_sea_export,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,dep_share_sea,oil_v_total,oil_q_total,oil_q_canal,oil_v_canal,dep_oil_share_q,dep_oil_share_v,criticality_oil_tonnes,rerouting_share,Stakes_ic,total_naval_fleet,proximity_score,ability_score,Entity,Year,regime_score,regime_scaled
TWN,Malacca Strait,248400891.25433335,550406817489.0781,202267106.723614,258936986485.0686,46133784.53071937,291469831004.0096,58388815.77946693,112910108439.4477,47814193.264508046,10574622.51495888,60229670512.86547,52680437926.58223,23.00941665945064,0.23505880145850055,NA,NA,NA,NA,NA,NA,37.2,0.8,NA,97,0,97,Taiwan,2024,4,0.8
TWN,Panama Canal,248400891.25433335,550406817489.0781,202267106.723614,258936986485.0686,46133784.53071937,291469831004.0096,19728244.530273285,24200807843.15235,17047734.345907345,2680510.184365938,13093681781.834402,11107126061.317947,6.157253704042887,0.07942098931550885,NA,NA,NA,NA,NA,NA,37.2,0.4,NA,97,0,97,Taiwan,2024,4,0.8
TWN,Strait of Hormuz,248400891.25433335,550406817489.0781,202267106.723614,258936986485.0686,46133784.53071937,291469831004.0096,30315932.067929104,24883876765.48509,29661740.42014579,654191.6477833142,22511155039.19632,2372721726.28877,11.013866712990689,0.12204437719544713,NA,NA,NA,NA,NA,NA,37.2,0,NA,97,0,97,Taiwan,2024,4,0.8
TWN,Suez Canal,248400891.25433335,550406817489.0781,202267106.723614,258936986485.0686,46133784.53071937,291469831004.0096,9408549.174667804,60995577179.65861,4227873.086381081,5180676.088286724,25073711435.92227,35921865743.736336,12.87404774451186,0.037876471083328575,NA,NA,NA,NA,NA,NA,37.2,0.4,NA,97,0,97,Taiwan,2024,4,0.8
TWN,Taiwan Strait,248400891.25433335,550406817489.0781,202267106.723614,258936986485.0686,46133784.53071937,291469831004.0096,107687806.07855484,256395722247.44904,82508950.21810807,25178855.860446785,116166702888.44237,140229019359.00665,30.18175180408299,0.43352423388970523,NA,NA,NA,NA,NA,NA,37.2,0.8,NA,97,0,97,Taiwan,2024,4,0.8
TZA,Gibraltar Strait,12726638.59505182,19072020263.358456,8629722.820408799,12535109645.504524,4096915.774643023,6536910617.85393,1370863.554958114,1706449510.2585588,1170729.7741052702,200133.7808528437,1352779724.985834,353669785.27272487,13.665491262793957,0.10771607480793181,9.945,10.814,1.1648416329729747,1.0712363639648819,0.10771607480793183,0.10771607480793181,NA,0.4,NA,NA,0,NA,Tanzania,2024,1,0.2
TZA,Malacca Strait,12726638.59505182,19072020263.358456,8629722.820408799,12535109645.504524,4096915.774643023,6536910617.85393,3560504.1291656704,7227453172.773553,2914595.0474962555,645909.0816694149,5194921736.861767,2032531435.9117863,23.00941665945064,0.27976783520434156,9.945,10.814,3.0254093698997497,2.782291121107177,0.27976783520434156,0.27976783520434156,NA,0.8,NA,NA,0,NA,Tanzania,2024,1,0.2
TZA,Panama Canal,12726638.59505182,19072020263.358456,8629722.820408799,12535109645.504524,4096915.774643023,6536910617.85393,7745.264580218565,5078400.177586771,7645.702859218961,99.56172099960396,3802420.2320154808,1275979.94557129,6.157253704042887,6.085868253719378e-4,9.945,10.814,0.0065812579295721355,0.006052395978323922,6.085868253719378e-4,6.085868253719378e-4,NA,0.4,NA,NA,0,NA,Tanzania,2024,1,0.2
TZA,Strait of Hormuz,12726638.59505182,19072020263.358456,8629722.820408799,12535109645.504524,4096915.774643023,6536910617.85393,1503852.6559359648,2525070411.84523,1417708.481139326,86144.17479663888,1817113925.5075483,707956486.3376818,11.013866712990689,0.11816573910731387,9.945,10.814,1.2778443027064923,1.1751582754222365,0.11816573910731389,0.11816573910731387,NA,0,NA,NA,0,NA,Tanzania,2024,1,0.2
TZA,Suez Canal,12726638.59505182,19072020263.358456,8629722.820408799,12535109645.504524,4096915.774643023,6536910617.85393,2053678.63033554,2767559582.59906,1739188.7352927714,314489.8950427686,2039808277.8292248,727751304.769835,12.87404774451186,0.16136850394526175,9.945,10.814,1.7450390016640607,1.6048097717356282,0.16136850394526175,0.16136850394526175,NA,0.4,NA,NA,0,NA,Tanzania,2024,1,0.2
