importer_iso3,canal,RP_ic
ISR,Suez Canal,67.3401481162011
ISR,Taiwan Strait,4.924441590206288
ITA,Gibraltar Strait,1582.3650635527872
ITA,Malacca Strait,204.57321876922606
ITA,Panama Canal,86.30982499396517
ITA,Strait of Hormuz,355.76138474345686
ITA,Suez Canal,1050.3348148852413
ITA,Taiwan Strait,124.22041970908919
JAM,Gibraltar Strait,NA
JAM,Malacca Strait,NA
JAM,Panama Canal,NA
JAM,Strait of Hormuz,NA
JAM,Suez Canal,NA
JAM,Taiwan Strait,NA
JOR,Gibraltar Strait,NA
JOR,Malacca Strait,NA
JOR,Panama Canal,NA
JOR,Strait of Hormuz,NA
JOR,Suez Canal,NA
JOR,Taiwan Strait,NA
JPN,Gibraltar Strait,199.3670678205756
JPN,Malacca Strait,907.4848003481904
JPN,Panama Canal,742.1348343506065
JPN,Strait of Hormuz,2043.035910347982
JPN,Suez Canal,326.4808044649512
JPN,Taiwan Strait,1128.2182723912968
KAZ,Gibraltar Strait,NA
KAZ,Malacca Strait,NA
KAZ,Panama Canal,NA
KAZ,Strait of Hormuz,NA
KAZ,Suez Canal,NA
KAZ,Taiwan Strait,NA
KEN,Gibraltar Strait,NA
KEN,Malacca Strait,NA
KEN,Panama Canal,NA
KEN,Strait of Hormuz,NA
KEN,Suez Canal,NA
KEN,Taiwan Strait,NA
KGZ,Gibraltar Strait,NA
KGZ,Malacca Strait,NA
KGZ,Panama Canal,NA
KGZ,Strait of Hormuz,NA
KGZ,Suez Canal,NA
KGZ,Taiwan Strait,NA
KHM,Gibraltar Strait,NA
KHM,Malacca Strait,NA
KHM,Panama Canal,NA
KHM,Strait of Hormuz,NA
KHM,Suez Canal,NA
KHM,Taiwan Strait,NA
KNA,Gibraltar Strait,NA
KNA,Malacca Strait,NA
KNA,Panama Canal,NA
KNA,Strait of Hormuz,NA
KNA,Suez Canal,NA
KNA,Taiwan Strait,NA
KOR,Gibraltar Strait,428.57623821775536
KOR,Malacca Strait,1426.6900513723522
KOR,Panama Canal,1057.7135062797397
KOR,Strait of Hormuz,4021.9575866816067
KOR,Suez Canal,1087.6987525145935
KOR,Taiwan Strait,2162.1723351861424
KWT,Gibraltar Strait,0
KWT,Malacca Strait,0
KWT,Panama Canal,0
KWT,Strait of Hormuz,0
KWT,Suez Canal,0
KWT,Taiwan Strait,0
LAO,Gibraltar Strait,NA
LAO,Malacca Strait,NA
LAO,Panama Canal,NA
LAO,Strait of Hormuz,NA
LAO,Suez Canal,NA
LAO,Taiwan Strait,NA
LBN,Gibraltar Strait,NA
LBN,Malacca Strait,NA
LBN,Panama Canal,NA
LBN,Strait of Hormuz,NA
LBN,Suez Canal,NA
LBN,Taiwan Strait,NA
LBR,Gibraltar Strait,NA
LBR,Malacca Strait,NA
LBR,Panama Canal,NA
LBR,Strait of Hormuz,NA
LBR,Suez Canal,NA
LBR,Taiwan Strait,NA
LBY,Gibraltar Strait,NA
LBY,Malacca Strait,NA
LBY,Panama Canal,NA
LBY,Strait of Hormuz,NA
LBY,Suez Canal,NA
LBY,Taiwan Strait,NA
