iso3,canal,q,v,q_sea_predict,v_sea_predict,q_sea_import,v_sea_import,q_sea_export,v_sea_export,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,revenue_USD
GTM,Oresund Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,391314.8236912738,350439193.929091,361066.1694615136,30248.65422976022,320831900.95801795,29607292.971073013,3.1747749928181026,0.0
GTM,Panama Canal,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,8448859.766386386,7990139682.536592,5495663.740789859,2953196.0255965265,5580286070.509989,2409853612.0266027,6.157253704042887,0.0
GTM,Strait of Hormuz,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,32515.362173241352,96997856.37231281,23988.60463725181,8526.757535989542,25916516.61777217,71081339.75454065,11.013866712990687,0.0
GTM,Suez Canal,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,257119.57331139065,792615179.2990135,208181.5142694905,48938.05904190015,502303238.5464544,290311940.75255907,12.87404774451186,0.0
GTM,Sunda Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,1944.5461918130309,4446913.979965729,1836.8030845756275,107.74310723740338,3902030.22982693,544883.7501387984,6.94227969415126,0.0
GTM,Taiwan Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,1345541.6119898472,1206998415.794778,1186832.949489854,158708.66249999305,1177050868.456529,29947547.33824911,30.18175180408299,0.0
GTM,Torres Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,2518.313306445405,4376892.265686137,2504.983763729974,13.32954271543117,4313806.465667959,63085.80001817727,4.513103072394245,0.0
GTM,Tsugaru Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,1546276.858800191,2839757105.484817,1180190.3393801015,366086.5194200894,2602789011.399587,236968094.08523,3.2023519549929347,0.0
GTM,Windward Passage,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,1352845.454255031,1198474779.7307332,603240.8467691088,749604.607485922,629470521.8863708,569004257.8443624,1.6668765196968645,0.0
GTM,Yucatan Channel,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,8910878.291396275,11979896989.202269,5663522.514721409,3247355.7766748657,6829147879.651805,5150749109.550464,2.864518296990316,0.0
GUY,Bab el-Mandeb Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,92170.63030739682,116418248.71748638,64182.38217759338,27988.24812980344,105944040.64911136,10474208.068375014,13.126096746661805,0.0
GUY,Bohai Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,371005.8633609695,211742814.33317423,21366.47288759793,349639.3904733716,56991237.81021049,154751576.52296373,8.117292212620809,0.0
GUY,Bosporus Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,320685.3141129375,80630545.8085681,308632.4877454044,12052.826367533087,74989628.77895486,5640917.029613239,6.705622313986158,0.0
GUY,Cape of Good Hope,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,428956.72277090984,212776120.06348553,458.85662381911146,428497.86614709074,17755696.191514228,195020423.8719713,6.426963930739,0.0
GUY,Dover Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,6869521.180240006,3427399953.643515,430837.3434480684,6438683.836791938,226621602.50595096,3200778351.137564,10.065191692564454,0.0
GUY,Gibraltar Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,3530395.502971231,1718854953.3529336,642053.9570770892,2888341.545894142,298471219.1859937,1420383734.16694,13.665491262793955,0.0
